raison_sociale;ville;mobile;tel;email;siteweb
"A &amp; E CORPORATE";Abidjan;04529499;04529499;aandecorporate@gmail.com;https://maisondecora.com/
Babi Society;Abidjan;40552141;40552141;planner.event225@gmail.com;http://plannerevent.com
X-PERTIZ GROUPE;ABIDJAN;49534398;22005589;serge.kreman@x-pertizgroup.com;http://www.x-pertizgroup.com
iCapital Ventures;Abidjan;72122288;+225 22437577;ceo@eic-corporation.org;http://wwww.icapitalventures.io
PRO-DIGES;Abidjan;77542654;05737106;777k@live.fr;https://aoa-edu.org
Singo honey stream compagny;Abidjan;58835728;67174365;honey.streamdirection@gmail.com;http://www.honeystream.ci
YAYA SIDIBE PRODUCTION;Abidjan;58385387;58385387;yayasidibeproduction@gmail.com;http://www.yayasidibeproduction.com
G-SYD GROUPE;Abidjan;04687815;04687815;gsydgroupe@gmail.com;www.g-sydgroupe.com
DIRECT IMPACT PARTNERS;Abidjan;54121258;54121258;callmecotedivoire@gmail.com;http://getakwaba.com
FAST RESPONSE;ABIDJAN;05999983;05999983;e-wallet@fhm.cloud;http://www.fastresponse-ci.com
ICM BLOLEQUIN;blolequin;07493986;07493986;doueoulaleopold@gmail.com;http://icmblolequin.org
ETS;Douala;695412491;695412491;contact@femmentrepreneur.com;http://femmentrepreneur.com
SARL;Abidjan;47145496;06099894;cedric.gnahore@akpany.ci;https://i2em.net
Con7ptoo sarl;Abidjan;+225 49394810;+225 21311004;con7ptoo@gmail.com;http://con7ptoo.net
AFRILEAD ;Douala;679508929;679508929;welcome@afrileads.org;https://www.afrileads.org/
KMS PHARMA;ABIDJAN;07982566;07982566;kmspharma@gmail.com;http://www.sodenn-ci.com
MONDIAL PRESTA;ABIDJAN;07667627;07667627;mondialpresta2011@gmail.com;http://www.mondialpresta.com
MANAGEO;Casablanca;48185065;0661974940;ylemrini@gmail.com;https://manageo.io
StoreMedia;Bamako;75960055;75960055;fretax3@gmail.com;http://storemedia.net
InspireLead;Niamey;+22791057901;+22791057901;jose.wabo@inspirelead.com;http://www.inspirelead.com
Fladivet- TCHOK CI SARL U;Abidjan;87414564;08127220;lamoussa.diabate1@gmail.com;https://www.fladivet.com/
SuperLingua;Abidjan;58305298;58305298;info@superlingua.net;www.superproenglish.com
Ets Khollet;Yamoussoukro;+225 49548421;+225 05908827;skkouassi@gmail.com;http://skkouassi.wix/simk
AC Media SARL;Douala;675720027;675720027;sales@chloe-xpress.com;https://www.chloe-xpress.com/
Promotic;"Lom&eacute;";99101225;99101225;andredeveloper10@gmail.com;http://cybetcast.net
Digital Active;Abidjan;01840466;01840466;digitalactiveci@gmail.com;https://www.digitalactive.ci
LONACI;ABIDJAN;07016243;21753300;gcoulibaly@lonaci.ci;http://www.lonaci.ci
GENESTAR TECHNOLOGIES;Abidjan;07642323;07642323;genestartechnologies@gmail.com;https://genestarhightech-shop.net/
LEDOMICILE CI;ABIDJAN;57024292;57024292;ahmedbamb@gmail.com;http://www.ledomicile.ci
Mandjou Cuisine;Abidjan;95253402;95253402;supports@wmcci.com;https://wmcci.com/Mandjou-cuisine/
ONG Children's Hope International/Africa;Abidjan;+225 48547239;+225 22441942;drcrespin@chi-africa.org;http://www.chi-africa.org
MON CHOCO;Abidjan;09093292;59507350;superchoco@monchoco.com;https://www.monchoco.com
Meditect ;"Abidjan, Bordeaux, Paris ";48245771;48245771;maxime@meditect.com;https://www.meditect.com/
237First Music;Yaounde;651321158;651321158;philipmakebeh@gmail.com;https://237firstmusic.com
VORTIX GROUP;"Yaound&eacute;";650666917;650666917;vortixgroup@gmail.com;http://www.vortixgroup.com
RAOUDA FINANCE;ABIDJAN;01880220;22524227;peyoma@raoudafinance.org;http://www.raoudafinance.org
ATHARI CORPORATION;ABIDJAN;07343749;22467180;geraldkouassi@gmail.com;https://play.google.com/store/apps/details?id=com.imara.imara_app
NYS AFRICA;ABIDJAN;+225 08586823;+225 20360999;insecuritydays@gmail.com;http://certif.abidjansite.com
DESTRIPREST;ABIDJAN;08112557;21001839;distriprestbelkanty@gmail.com;http://distriprest.com
AIDENUMERIC;ABIDJAN;+225 48335802;+225 20362669;jscuder@gmail.com;http://www.aidenumeric.ci
"SMD C&ocirc;te d&#039;Ivoire";Abidjan;05140827;07452834;cftlvci@gmail.com;https://wdxci.com/
ALIWAX;Abidjan;67225913;67225913;aliwaxcollection@gmail.com;https://aliwaxcollection.com
Formation;Abidjan;72574612;72574612;innocent.yao@cinetpay.com;http://www.innocentyaoconseil.ci
AFB CI TEST;ABIDJAN;78676480;78676480;eric_kodjio@afrilandfirstbank.com;http://www.afrilandfirstbankci.com
KWABACOM;abidjan;+225 58474723;+225 58474723;lbeauyat@live.fr;http://www.kwabacom.com
"Kiro&#039;o Games";"Yaound&eacute;";696354299;696354299;kiroodev@kiroogames.com;http://kiroogames.com
KolosPay;Garoua;690757532;673383967;mohamedou_ali@yahoo.fr;http://www.kolospay.com
ASCOMA CI (PAY IN - PAY OUT);abidjan;77356509;20300300;hamed.souhare@ascoma.com;http://www.ascoma.com
JD EDITIONS;Abidjan;07815147;23001750;jeanderbe4@gmail.com;https://jd-editions.com/
Ivoire Center;Bingerville;+225 58238923;+225 05448331;ivoircenter@gmail.com;http://www.shop.ivoirecenter.com
IPSUD;Abidjan;08109565;08109565;baybou1@yahoo.fr;http://ipsud.ci
HADEM SARLU;Abidjan;0663673102;0663673102;wcontayon@hadem-solutions.com;http://hadem-solutions.com
AGENCE MERCI;ABIDJAN;+225 07976932;+225 ;koolynie@gmail.com;http://www.oniveau.ci
team power;ABIDJAN;71717211;22429603;nankanrom@gmail.com;http://www.teampower-fitness.net
HONO SERVICES CI;Abidjan;+225 77782284;+225 22008094;hcoulibaly@hscigroupe.com;http://www.lebonwe.com
MAGIC CONCEPT;ABIDJAN;+225 08851299;+225 41781155;gautbill@gmail.com;http://www.ivoiresms.ci
MPS INFORMATIQUE;Abidjan;+225 08200259;+225 23455082;daingui_marcel@yahoo.fr;http://www.mpsinformatique.com
Capital 52;Montreal;4382709737;4382709737;nonseag@gmail.com;https://capital52.com/
Lebon;Abidjan;09208410;09208410;brouhkann@gmail.com;http://www.documentperdu.com
SINAS INTER;"Lom&eacute;";97813684;97813684;sinas.inter@gmail.com;https://www.touteslesepreuves.com
Helpstofind ;Yaounde;507452410;0694560101;helpstofind@yahoo.com;http://www.helpstofind.com
REGIE INDENIE;Abidjan;05973188;22420907;marius.atta@regieindenie.ci;http://www.cordonbleu.ci
Selkis;Abidjan;08086752;22536622;nakouty@gmail.com;http://www.selkis.com
mjc;Abidjan;+225 57906803;+225 57906803;jeancharlesmetch@gmail.com;http://playstore.com
MaishaPay;Kinshasa;976002329;976002329;landry.gcl@gmail.com;http://maishapay.net
"T&ocirc;t&ocirc; Delivery";Suresnes;662041701;0662041701;contact@toto-riibo.com;https://www.toto-riibo.com/
REGINEPRO CONSULTING;Abidjan;+22569801617;+22569801617;reginelovemoukete@gmail.com;https://regineproconsulting.com
Fondation Districom;Yamoussoukro;30000300;30000300;fondation@districom.ci;http://www.fondation.districom.ci
SERIATECH;Abidjan;040243434;22508361;maxime.koffi@seriatech.net;https://seriatech.net
GTBank CI;Abidjan;87130714;22520311500;technology.ci@gtbank.com;http://www.gtbankci.com
COMPAGNIE IMMOBILIERE ET SERVICES ;ABIDJAN;09151518;02080874;sankouage@gmail.com;http://www.cips.ci
MEGATEC NUMERIS;"Yaound&eacute;";694949911;694949911;wkouogangkamdem@gmail.com;http://www.numerisglobal.com/
KEHIASOFT;Abidjan;01224837;01224837;kehiasoft@gmail.com;http://www.kehiasoft.com
Bitiki;Bamako;74 00 30 60;65160818;contact@bitiki.net;https://www.bitiki.net
CIPCS SARLU;Abidjan;07920241;07920241;cipcsholding@gmail.com;https://www.lafermeeliel.ci
"Aline C&ocirc;te d&#039;Ivoire";Abidjan;97198883;0797198883;youedraogo@aline-solutions.com;http://preprod.aline-solutions.com/
NT&I CAMEROUN;Levallois-Perret;0695696377;0695696377;contact@maminianga.com;https://www.linkedin.com/in/karimmortabit/
Transafrik Incorporated;Abidjan;88881475;57270927;abdoulaye@transafrik.net;http://www.transafrik.net
KING.CI;Abidjan;+225 57964680;+225 57964680;theorafale08@gmail.com;https://monmaillot.net
Karpfen;Abidjan;015737581389;+225 015737581;akissiechangeur1@gmail.com;https://akissi.io
DOMCO;"Lom&eacute;";90776060;90776060;elihr1006@gmail.com;https://africadomco.com/
KabaKaba;Abidjan;45552781;45552781;kabakabaci@gmail.com;https://www.kabakaba.ci/
Printici;Abidjan;09744088;21221825;admin@printici.com;https://printici.com/
UJLOG;ABIDJAN;08109565;08109565;baybou11@gmail.com;http://ujlog.ci/
"KEN COTE D&#39;IVOIRE";Abidjan;47577044;47577074;kenivoire@gmail.com;https://ken.ci
QHK;Abidjan;59147901;22445646;ehouoted@gmail.com;http://www.qhk.ci
AGPayTech;LONDON;7505035845;203137885;cs@atlantiquemt.co.uk;http://atlmoney.com
Sama Event;Dakar;777155257;761819995;stephane.ndour@gmail.com;http://google.com
mobinprotect ivoire;abidjan;69354525;69354525;airbpau@gmail.com;https://sugumali.com
JILNIX GROUP;abidjan;73148215;47586092;jilnixgroup@gmail.com;http://jilnixmusic.com
COULEUR CONCEPT;Abidjan;01535370;01535370;billing@couleurconcept.com;http://couleurconcept.com
DIGIAFRIK GROUP;Abidjan;72155924;22 53 79 98;e.mambo@ltiafrica.com;https://boomingafrik.com/
PROXYMO SERVICES COMPANY;"Yaound&eacute;";242037758;242037758;awonofabrice7@gmail.com;http://galeriedumboa.com
Amigo;Abidjan;45095520;85424423;bertrandyao368@gmail.com;http://facebook.com
PALMETTE;ABIDJAN;09268810;09268810;dorgelesavy@gmail.com;https://www.palmette.ci
FG;ABIDJAN;+225 03170001;+225 20010520;yaojorjes@gmail.com;http://www.fyle-group.com
Yerama;Abidjan Plateau;45453516;57284834;b.10oumar@gmail.com;https://www.yerama.com/
KORI CAPITAL;Libreville;074912828;066367007;pacome.lemba@mysmarteo.com;http://www.napessa.com
kc services ;"yaound&eacute; ";651448400;678100848;fotchinecarla@gmail.com;https://kc-eats.com
Jocey;Abidjan;09744088;68371346;eventnadjiba@gmail.com;https://jocey.net
STREAMING;DOUALA CAMEROUNAISE;670549289;670549289;dr.vanelsandjong@yahoo.fr;https://www.cinaf.tv
"BELLAVIE COTE D&#039;IVOIRE";Abidjan;57820248;57820248;leah214039@hotmail.com;http://bellavieci.com
WARIEX;Abidjan;41000008;01000222;akrefr@yahoo.fr;https://winnerfinance.herokuapp.com
AGEROUTE;ABIDJAN;20251000;20251000;ageroutepay@ageroute.ci;https://ageroutemarche.ci
KFRECHARGE;ABIDJAN;04717125;48639567;kouaovalery@gmail.com;https://www.kfrecharge.com
MENTOR AFRO;ABIDJAN;56097708;05599191;wilfried.assi@mentorafro.com;http://www.mentorafro.com
People Connex;Abidjan;+225 78477177;+225 23000644;admin@peopleconnex.net;http://www.peopleconnex.net
DOTHAN GROUP;ABIDJAN;89787969;89787969;fabricekof.fk@gmail.com;http://www.keiwa-app.com
DOF FORMATON;ABIDJAN;48223307;48223307;dofformation@gmail.com;http://web.facebook.com/doformation/
NUMEX;"Yaound&eacute;";653819434;697186042;ely.liking@yahoo.com;http://numexchange.com
ESPOIR DE LA JEUNESSE;YAMOUSSOUKRO;89679284;86496034;internatmamarachel2018@gmail.com;http://www.inetrnatmamarachel.org
JEYSM ACADEMIE SARL ;ABIDJAN;79305445;22579305445;infos@jeysmacademie.net;http://www.jeysmacademie.net
"BARABEY COTE D&#039;IVOIRE ";ABIDJAN ;45957928;45957928;barabeycotedivoire@gmail.com;https://barabey.com
"Aumonerie Militaire Catholique du Dioc&egrave;se d&#039;Abidjan";ABIDJAN;08371779;86656587;aumoneriemilitairecatholiq.abj@gmail.com;http://aumoneriemilitairecatholique.org/
ICTINA;abidjan;07579216;47330303;compta@ictina.com;http://ictina.com
Ainotek;ABIDJAN;86656587;86656587;bbreezy4u@gmail.com;http://ainotek.com
Babi Society;Abidjan;01510413;01510413;babipronos@gmail.com;https://BabiPronos.com
BETIS;ABIDJAN;57559807;02622702;bkarnoless@gmail.com;http://www.bookamain.com
Musicien Accompli;Abidjan;57519224;57519224;musicienaccompli@gmail.com;https://www.musicienaccompli.com
INTELLECT CREATION;ABIDJAN;+225 58108076;+225 23000536;nlogic2012@gmail.com;http://intellectcreation.com
SRHFIRST;Abidjan Cocody;79619828;79619828;christopher.etche@srhfirst.com;http://srhfirst.com
Bourse de Sous-Traitance et de Partenariat ;Douala;679508929;679508929;info@sispicm.com;https://www.sispicm.com/
ABIDJAN SPORTS ;Abidjan;07651864;07651864;info.abidjansports@gmail.com;http://abidjansports.net
GMC;Abidjan;01303049;01303049;globalmotion07@gmail.com;http://000.com
"mobility plus c&ocirc;te d&#039;ivoire";Abidjan;0708271818;0708271818;mobilityplus.ci@gmail.com;http://www.mobility-plus.ci/
Yoolearn;Angers;648138928;648138928;stephane@yoolearn.co;http://www.yoolearn.co
ASSOCIATION AGAGT;ABIDJAN;0777397777;0151679864;awo.thibaut@associationagagt.org;http://www.associationagagt.org
SAS;ABIDJAN;03010439;03010439;admin@speedkdo.com;https://www.speedkdo.com/
DDVA;Abidjan;08968013;08968013;ddva@cinetpay.com;https://cinetpay.com/
REVELATION SERVICES;Abidjan;07806966;07806966;arsene.tagnon@iparoisse.org;https://www.iparoisse.org
"CHK COTE D&#039;IVOIRE";ABIDJAN;08225497;22500786;c.kouame@chkgroupe.com;http://app.cloudpaie.com
BBP TEAM RECORDS;Abidjan;58125731;58125731;inabo.succes@gmail.com;http://bebiphilip.com
Gameroon;Yaounde;655291594;655291594;yansabs@gmail.com;https://www.gameroon-entertainment.com
GLOBAL MULTI SERVICE;Abidjan;+225 08651679;+225 ;ndriomer@gmail.com;http://www.gms.ci
FULGENCE;ABIDJAN;01304958;01304958;fulgence.06goueu@gmail.com;http://cinetpay.com
ILTIC;ouagadougou;65599195;65599195;ulrich@iltic.com;http://www.iltic.com
Smartphorce Cameroon;Douala;698100111;679606011;jp@smartphorce.com;http://www.smartphorce.com
MUTUELLE SANTE AWOUNDJO;ABIDJAN;0759595213;21373598;mutuelleawoundjo2018@gmail.com;https://www.mutuelleawoundjo.com
DEVLOGY;Abidjan;+225 23001793;+225 06750000;contact@devlogy.com;http://www.devlogy.com
eparchemin;Dschang;655194937;655194937;bauricenafack@gmail.com;http://eparchemin.com
MASSENI YEO;ABIDJAN;59570356;59570356;masseni.yeo@cinetpay.com;http://www.masseniyeo.com
REDENACI;ABIDJAN;84969240;07321784;redenaci.cinetpay@gmail.com;http://redenaci.org
"Association des Scouts Catholiques de C&ocirc;te d&#039;Ivoire";Abidjan;57464988;20223522;yoffoua@yahoo.fr;http://www.scoutascci.org
ASSOCIATION SPORTS ET ENTERTAINMENT CI ( HAPPY RUN );Abidjan;0556106688;0777129161;yapobi_v2@happyrun.ci;http://happyrun.ci
Bawounyi;abidjan;67637416;67637416;bawounyi@gmail.com;https://bawounyi.com/
SHALOM COMMUNICATION ET EVENTS;ABIDJAN;09610146;01451499;acyrilletape@gmail.com;http://www.debinpay.com
"FRESH &amp; GREENS";Abidjan;72999902;22431067;ebc@freshandgreens.ci;http://freshandgreens.ci
VIVO ENERGY CI (VECI)  -  PAY OUT;Abidjan;08071459;02007145;anseanyguei@gmail.com;http://www.vivoenergy.com
DAME DOREE;Abidjan;0103080707;2720354006;info@damedoree.com;http://www.damedoree.com
ALTECH. INFORMTIQUE;korhogo;08516676;08516676;altechkgo@gmail.com;https://labonneadresse.je2menage.net/
ADDOHA;Abidjan;625128035;0625128035;r.elmougali@groupeaddoha.com;http://addoha.ci
FUPA;Abidjan;08191489;08191489;carine.bongoua@fupa-edu.com;http://www.fupa-edu.com
Africa Go Solution LTD;Ben Arous;+216 46277961;+216 55514883;africagosolution@gmail.com;http://wecashwewin.com
Club Top Managers;Abidjan;65969939;22002030;contact@clubtopmanagers.org;http://clubtopmanagers.org/
DIGITAL E-COMMERCE GROUP;PALMERAIE;58452666;58452666;digitalecommercegrp@gmail.com;https://www.premieremod.com
AFRIKIBO Sarl;"Lom&eacute;";99601277;99601277;afrikibo@gmail.com;http://kiboaid.com
PKD Technologies INC.;Neuilly-sur-Seine;+33 0 67 53 36 00;+22520244144;pierredjemis1@gmail.com;https://lingua.pkdtechnologiesinc.com
Naimadolls;Cocody;40355042;79864285;saracoul01@yahoo.fr;http://naimadolls.com
Cocody Roc ;Abidjan ;87482335;22413177;guillaofw@gmail.com;http://livemusicgdbassam.ci
Umdeny;"Yaound&eacute;";691213540;242014664;umdeny@gmail.com;http://umdeny.com
IBRAHIM FERNANDEZ;Abidjan;57446722;57446722;zangobyfernandezibrahim@gmail.com;http://ibrahimfernandez.net
Production musicale et audiovisuelle;Abidjan;76242222;58125731;serey.geoffroy@yahoo.com;http://schamastore.com
Izibay;Abidjan;+225 08575749;+225 21011597;info@izibay.com;http://www.izibay.com
les bureaux canaris;Abidjan;47605932;47605932;info@lesbureauxcanaris.com;https://lesbureauxcanaris.com
EL-SHADDAI-TOTO GROUP;LOME;57698285;57698285;toto.app.info@gmail.com;https://totoapp.com
EL-SHADDAI-TOTO GROUP;LOME;90122464;90122464;elshaddai.app.info@gmail.com;http://elshaddaiapp.com
"DiakPharmaceuticals, LLC";Abidjan;41567802;22541567802;sales@diakpharma.com;http://www.diakpharma.com
Iroko Limited;Mountain House;2016166008;2016166008;chitra@irokopartners.com;https://irokotv.com/
BEST INFO;Abidjan;+225 44953306;+225 21000357;jires02@gmail.com;http://www.just1click.ci
TICKET DJASSA;Abidjan;+225 07759756;+225 08155815;loicangora4@gmail.com;http://www.ticketdjassa.com
ticketdjassa;Abidjan;+225 08155815;+225 22470578;loicangora@ticketdjassa.com;http://ticketdjassa.com/
Compte Module;Abidjan;48357071;22423777;devmodulecinetpay@gmail.com;https://www.cinetpay.com
BAH BLESSON & Company;Abidjan;+225 05340303;+225 20002711;steve@bahblesson.com;http://www.bahblesson.com
"EPC Notre Dame de l&#039;Incarnation";Man;89837624;89837624;epcndiman@gmail.com;http://WWW.epcndi-man.com
eservices;abidjan;08086872;08086872;franckdetoh@hotmail.com;http://www.eservice-ci.com
Maison du digital SARL;LOME;90590131;90590131;sondoucrepino@gmail.com;http://mdchanger.com
HOLAN GROUPE;ABIDJAN;48121276;48121276;info@holan.ci;http://www.mutation.ci
Ekoh Media;Cape Town;782671569;782671569;ekoh.online@gmail.com;https://ekoh.online
LEGAFRIK;ABiIDJAN ;+225 07238520;+225 07238520;youssouf.ballo@legafrik.com;http://www.legafrik.com
BURNET  SARL;ABIDJAN;07623736;22411515;burnetriyo2020@gmail.com;www.riyohotels.ci
Cocody Market;Abidjan;07342709;07342709;cocodymarket2020@gmail.com;http://www.cocodymarket.com
TG MAXX;Abidjan;+225 07976902;+225 22510375;tgmaxx@msn.com;http://www.tgmaxx.ci
Yoann Boyer Photographie;Dakar;783732929;783732929;fry.boyer@gmail.com;https://wybase.com
"API AGIR POUR L&rsquo;INFORMATIQUE";Abidjan;78451528;84531823;abenaqui.carol@gmail.com;http://agir-pour-linformatique.org
MEIKITT;"yaound&eacute;";696727706;675005665;dj_paul120002000@yahoo.fr;http://meikitt.com
GABY SARL;DOUALA;691702505;691702505;gab.ngueliani@gmail.com;http://www.jumia.com
"ABN&#039; GROUP";Abidjan;07311705;20019839;arthurbella@abnethnik.com;http://www.abnethnik.com
Ivoire production service vente;Abidjan;87816098;87816098;ivoirepsv@gmail.com;http://midastor.com
Ubuntu COnsulting;"Lom&eacute;";91350391;91350339;maganda.igor@gmail.com;https://www.ubuntu-consulting.com/
ALTERNAPROD MALI;Mali;616967006;0616967006;emmanuel.agondeh@gmail.com;https://elonglife.yanainfo.com/
AZEDD Afrique;"Lom&eacute;";90010747;90010747;cinetpay@azeddafrique.org;http://azeddafrique.org
JMJ AFRICA ;Yaounde ;673662218;673662218;bouliva.gaba@jmjafrica.com;http://www.jmjafrica.com
ETS ARCS;YAOUNDE;694296643;694296643;ngolissouckregine@gmail.com;http://etsarcs.com
MOBISOFT;Abidjan;07709809;22418072;mcomoe@mobisoft.ci;http://www.mobisoft.ci/
ETS SPACEKOLA;Yaounde;694573490;670103490;spacepay@spacekola.com;https://spacekola.com
EDUCAS CONSULTING;ABIDJAN;65651221;+22558800058;educas.nsa@gmail.com;https://www.educas-nsa.net
SOUTRA EXPRESS -SARL;Abidjan;0022548808843;0022548808843;yves_doho@hotmail.com;http://soutraexpress.ci
NEERONE;Abidjan;75697390;75697390;neerone.postmaster@gmail.com;https://neerone.com
"DJANGONE SARL(En partenariat avec Mairie d&#39;Adjamé)";Abidjan;09230156;09230156;stephaneguyi@outlook.com;http://adjamemacite.net
"IN&#039;NOV GROUP";Abidjan;47973141;47973141;bboxcontacts@gmail.com;http://fripstore.ci
BE CONNECT AIR;ABIDJAN;01736311;21278163;beconnectair@gmail.com;http://www.beconnectair.com
Ets;"Yaound&eacute;";655770480;+237655770480;evetchou1@gmail.com;http://www.cocodeco.biz
SANDY SARL;douala - yaounde;694734503;694734503;wnasuba@gmail.com;http://navii.ca/
METALCO ;DAKAR;777161015;338591093;salwa.joher@metalco.sn;http://metalco.sn/
LEADNOOVA GROUP SARL;ABIDJAN;88294199;88898755;support@justcall.ci;https://www.justcall.ci
prunus;Abidjan;88214373;88214373;mekuko237@gmail.com;http://cinetpay.com
Groupe Scolaire Saint Cyr;Abidjan;89901502;71679341;juliendk0@gmail.com;http://cinetpay.com
NaN CI;Abidjan;02772222;89252529;keffa@nan.ci;https://nan.ci
Dollars Bijoux;"Yaound&eacute;";691814073;691814073;morelchoupo@gmail.com;http://dollarsbijoux.com/
COULIBQLY MIHALA CONSEIL ET FORMATION (CMCF);Korhogo;47624490;47624490;mihaladrive@gmail.com;http://cmcfpay.zedapp-ci.com/
BMI FINANCE CI SA;ABIDJAN;09813582;22421619;fousci90@gmail.com;https://www.bmi.ci
GUI SERVICES GROUPE;Abidjan;225 67 10 88 84;225 22 47 27 67;business@hscigroupe.com;http://www.lebonwe.com
"DIGITMO&iuml;D SARL";ABIDJAN;74173238;22410671;manager@digitmoid.com;https://digitmoid.com
GENESA;Soubre;31978025;23571166;trade@foueta.org;http://www.google.ci
CAVAS ;Abidjan;07173636;22541686;sig.cavas@cavassarl.com;https://cavassarl.com
ONG ALINE;Abidjan;07750895;06939353;alinecontrecancer@gmail.com;http://www.ongalinecancer.org
"FLUTTERWAVE TECHNOLOGY SOLUTIONS COTE D&#039;IVOIRE";Abidjan;77700267;77700267;olukunle@flutterwavego.com;http://www.flutterwave.com
CINETPAY TEST BMI CI;Abidjan;49496794;49496794;xemeca1669@tinkmail.net;https://cinetpay.com/
SARL U;Lome;279679749;0279679749;fkinvi@reachafrika.com;https://reachafrika.com/
XPERTSEN;DAKAR;777775271;777775271;contact@iworks.sn;https://iworks.sn/
God Light Services;Abidjan;89977321;89977321;jeanjoelyao@gmail.com;https://www.parkingdor.com
PayQin Limited ;London;+44 (203) 3181 207;+44 (203) 3181 207;finance@payqin.com;http://www.boutsy.com
"KRM GROUP DIGIT &amp; SOFT ENGINEERING SARL";Douala;691062838;691062838;romaricstart@gmail.com;https://groupkrm.com/
"UNIVERSITE VIRTUELLE DE C&Ocirc;TE D&#039;IVOIRE";ABIDJAN;07391208;22515147;marie-benedicte.goze@uvci.edu.ci;http://www.uvci.edu.ci
RELD CONSULTING ;LOME;+22893108784;+22892953515;cabinetreldtogo@gmail.com;http://www.reldconsulting.com
Tech Digital ;Abidjan;49366293;49366293;kcyrille53@gmail.com;http://Lesbonnesaffaire.com
DMD;Abidjan;07229898;21221414;resp.marketing@dmd-ci.com;http://dmd-ci.com
Busian Family;Dakar;774048432;774048432;galsenlab221@gmail.com;http://www.busian.com
MASY GROUP;Abidjan;54457254;88238133;floraskouassi@hotmail.fr;http://mabonnebox.com/
GSK;ABIDJAN;07742574;07742574;contact@monalertesms.com;http://www.2parsms.ci
REPAT;ABIDJAN;07330382;59032332;contact@repatagency.com;http://www.repatagency.com
e-mediator;Abidjan;58779870;22459383;hello@beclossa.com;http://beclossa.com
TOP MARIAGE;Abidjan;55850244;21372221;ezechielkouame@gmail.com;https://topmariage.ci
QUICKCASH;ABIDJAN;49517916;49517916;abeufrederic@gmail.com;http://quickcashci.com/
Softconcept Africa;Abidjan;40485698;22541760;contact@softconcept.ci;http://www.softconcept.ci
distribution numérique;ABIDJAN;+225 79706613;+225 79706613;sanntaki7@gmail.com;http://www.bizi13.com
Guanxi Invest;Douala;+237 693434472;+237 693434472;cedric.ngondi@guanxi-invest.com;http://www.guanxi-invest.com
calebasse creation;Abidjan;08397094;79788281;calebassecreation2019@gmail.com;https://www.calebassecreation.com
individuel ;Korhogo;07727281;07727281;monpedja@gmail.com;https://sites.google.com/view/monpedja/accueil
Foongon Corporation SAS;DOuala;+237 673792563;+237 673792563;foongon.sas@gmail.com;http://foongon.com
Nexus IT;Abidjan;+225 66000808;+225 21369556;niamke29@yahoo.fr;http://nexus.ci
STARLING GROUP;ABIDJAN;49670357;77966817;armelho2013@gmail.com;http://mobil-mall.com/
 OLAM SERVICES;Abidjan;07220605;07220605;jekacou01@gmail.com;http://www.carsoman-ci.com
Société Coopérative Agricole Alliance;Abidjan;59267563;22503642;mariannassike@scaa-ci.net;http://www.cinetpay.com
7Cortex Côte d'Ivoire;ABIDJAN;+225 08409000;+225 21352579;logan@7cortex.com;http://www.7cortex.com
GROUPE ATOOME INTER;Dakar;778204747;+225 778204747;atoomegroupe@gmail.com;http://atoomegroupe.com
DISTRIMAT INTER COURRIER EXPRESS;abidjan;21257452;2721257452;yarnaud@distrimatinter.com;http://www.fedex.com/ci
Ivoire Talents;Abidjan;+225 57900770;+225 48478099;info@ivoiretalents.com;http://labs.ivoiretalents.com
Dunamis Group ;Douala;674833995;679727332;ramaticoulos@gmail.com;http://www.skywatcher.store
CinetPay Support;Abidjan;+225 22423777;+225 22423777;support@cinetpay.com;https://www.cinetpay.com
BET ONLINE SARL;Senegal;778416565;+221778416565;payments@1xbet-team.com;http://1xbet.sn
Ets;"Yaound&eacute;";698561844;698561844;spartespartacus@gmail.com;https://bonibako.cm/
KalityShop;Abidjan;01871210;01871210;kalityshop1@gmail.com;http://kalityshop.com
KONATBIO;ABIDJAN;07997519;66715971;konatbio74@gmail.com;http://konatbio.com
Sapeo;Abidjan;07482382;07805213;sapeo.sarl@gmail.com;http://www.sapeo.ci
"Ministere de la femme de la famille et de l&#039;enfant";Abidjan;47551489;47551489;vin.kouassi@famille.gouv.ci;http://www.inscription-mffe.ci
Connectivo;Abidjan;0584221591;0747548163;latondeusedordabidjan@gmail.com;http://toa.ci
"Ecommerce Corporate Cote d&#039;Ivoire";ABIDJAN;58082917;58082917;formation@tatianaassi.com;https://taticonsultingpro.systeme.io/inscription
AFRICA DIGITAL BUSINESS;"Bouak&eacute;";0709611322;0709611322;rabineisaac@gmail.com;http://bit.ly/yaishops
AUTHENTIC AFRICA GROUP AAG;DAKAR;772067311;338216582;mo@diaby.xyz;http://www.authenticafricagroup.com
"ONG CRI DE COEUR LA FEMME ET DE L&#39;ENFANT (ONG CCFE)";Abidjan;49603869;49603886;ongccfe07@gmail.com;https://ong-ccfe.com
TMT;France;0614114110;0614114110;marieaxelletanoh@gmail.com;https://test.com
Saarsara Globals;Mbour;775859713;775859713;souley096@gmail.com;http://www.saarsara.com
FUNE INFO;Abidjan;47974807;47974807;support@fune.info;http://www.fune.info
GENE 6;abidjan;77007283;77007283;contacts@laboutiquedubienetre.ci;https://laboutiquedubienetre.ci
SAS;Abidjan;59495162;59495162;homne.rachel81@gmail.com;"http://www.facebook.com/homne.rachel?__m_async_page__=1&amp;_rdc=1&amp;_rdr"
